H,Depth,MIN,AVG,STD,Estimation
32,14,-11.97800,-8.07958,8.54395,8.54030
32,13,-11.71296,-8.07648,8.54153,8.53780
32,12,-11.95565,-8.07758,8.54231,8.53794
32,11,-11.82853,-8.07527,8.54276,8.53764
32,10,-11.85526,-8.07822,8.54335,8.53562
32,9,-11.74777,-8.06508,8.53391,8.52830
32,8,-11.77767,-8.01954,8.50317,8.49781
32,7,-11.78709,-7.78765,8.36771,8.36270
32,6,-11.71639,-7.78804,8.36813,8.36082
32,5,-11.77396,-7.75784,8.35338,8.34657
32,4,-11.79442,-7.64406,8.31051,8.30097
32,3,-11.91214,-7.55368,8.28540,8.27503
32,2,-11.63617,-7.42844,8.26362,8.25579
64,14,-12.19506,-8.55522,9.02170,9.02045
64,13,-12.24644,-8.55619,9.02231,9.01921
