H,Depth,MIN,AVG,STD,Estimation
8192,7,-14.14625,-11.12828,11.47774,11.47831
8192,6,-14.02280,-11.12365,11.47248,11.47247
8192,5,-13.43632,-10.60880,10.94527,10.94367
8192,4,-13.56641,-10.56368,10.90261,10.90282
8192,3,-12.54714,-9.88450,10.21284,10.21053
8192,2,-12.37857,-9.52926,9.85510,9.85490
16384,15,-15.43912,-12.35365,12.71830,12.71862
16384,14,-15.39674,-12.35183,12.71581,12.71854
16384,13,-15.42548,-12.35473,12.71907,12.71837
16384,12,-15.40949,-12.35210,12.71611,12.71767
16384,11,-15.66958,-12.35061,12.71393,12.71489
16384,10,-15.49645,-12.34101,12.70758,12.70364
16384,9,-15.71186,-12.28403,12.65446,12.65682
16384,8,-15.15201,-12.05325,12.43055,12.43152
16384,7,-14.51305,-11.59401,11.94534,11.94735
16384,6,-14.66322,-11.59055,11.94115,11.94125
16384,5,-13.94242,-11.03707,11.37576,11.37715
16384,4,-13.90153,-10.99169,11.33371,11.33229
16384,3,-12.88073,-10.18248,10.51104,10.50970
16384,2,-12.50680,-9.66456,9.99008,9.98918
32768,15,-15.98045,-12.84960,13.21436,13.21313
32768,14,-15.99561,-12.84856,13.21386,13.21307
32768,13,-15.98259,-12.84862,13.21187,13.21289
32768,12,-16.09711,-12.84553,13.21134,13.21219
32768,11,-15.94194,-12.84380,13.20799,13.20939
32768,10,-16.13312,-12.83139,13.19736,13.19805
32768,9,-15.97249,-12.78338,13.15433,13.15085
32768,8,-16.00703,-12.54379,12.92233,12.92337
32768,7,-15.19218,-12.07964,12.43117,12.43136
32768,6,-14.92792,-12.07294,12.42555,12.42513
32768,5,-14.36263,-11.49939,11.84078,11.84145
32768,4,-14.23190,-11.45305,11.79650,11.79426
32768,3,-13.23287,-10.55440,10.88409,10.88350
32768,2,-12.59362,-9.87321,10.19931,10.20013
