H,Depth,MIN,AVG,STD,Estimation
8192,7,-7.86419,-5.26606,5.59177,5.59160
8192,6,-7.85175,-5.22513,5.55130,5.55172
8192,5,-7.86419,-5.22447,5.55027,5.54971
8192,4,-8.02791,-5.19120,5.51701,5.51871
8192,3,-7.74147,-5.20142,5.52759,5.52632
8192,2,-8.35755,-5.63641,5.96133,5.96286
16384,15,-8.57365,-5.99249,6.31885,6.32016
16384,14,-8.69697,-5.94943,6.27516,6.27484
16384,13,-8.60363,-5.90506,6.23067,6.23246
16384,12,-8.47168,-5.86655,6.19217,6.19297
16384,11,-8.49985,-5.82892,6.15472,6.15641
16384,10,-8.54689,-5.79575,6.12173,6.12292
16384,9,-8.31288,-5.77061,6.09629,6.09316
16384,8,-8.36194,-5.74997,6.07608,6.07616
16384,7,-8.37938,-5.76751,6.09260,6.09143
16384,6,-8.28540,-5.72445,6.05086,6.05145
16384,5,-8.40088,-5.72278,6.04857,6.04918
16384,4,-8.18488,-5.69214,6.01746,6.01728
16384,3,-8.29921,-5.69241,6.01715,6.01796
16384,2,-8.54689,-5.94349,6.26936,6.26908
32768,15,-9.11634,-6.49653,6.82248,6.82013
32768,14,-9.00843,-6.45035,6.77579,6.77480
32768,13,-9.02237,-6.40884,6.73452,6.73242
32768,12,-8.98014,-6.36754,6.69288,6.69293
32768,11,-9.00282,-6.32762,6.65395,6.65636
32768,10,-8.93958,-6.29749,6.62294,6.62287
32768,9,-8.90388,-6.26551,6.59159,6.59310
32768,8,-8.90388,-6.25248,6.57825,6.57608
32768,7,-8.90388,-6.26396,6.59032,6.59134
32768,6,-8.82337,-6.22638,6.55241,6.55131
32768,5,-8.82018,-6.22432,6.54972,6.54891
32768,4,-8.93958,-6.18987,6.51558,6.51657
32768,3,-8.83289,-6.18760,6.51282,6.51376
32768,2,-9.06340,-6.32137,6.64696,6.64662
