H,Depth,MIN,AVG,STD,Estimation
8192,7,-16.07953,-12.36687,12.81750,12.81905
8192,6,-16.08377,-12.36789,12.81840,12.81813
8192,5,-16.00492,-12.28702,12.75808,12.75762
8192,4,-15.88658,-12.28178,12.75195,12.75440
8192,3,-16.08329,-12.22766,12.71807,12.71937
8192,2,-16.23366,-12.21159,12.70893,12.71064
16384,15,-16.73541,-13.07573,13.49829,13.50023
16384,14,-16.63253,-13.07929,13.50071,13.50020
16384,13,-16.70083,-13.07705,13.49947,13.50014
16384,12,-16.68136,-13.08037,13.50121,13.49991
16384,11,-16.74039,-13.07839,13.50008,13.49897
16384,10,-16.64864,-13.07285,13.49642,13.49519
16384,9,-16.56902,-13.05231,13.48015,13.47990
16384,8,-16.61919,-12.97093,13.41344,13.41526
16384,7,-16.41604,-12.87039,13.32110,13.31892
16384,6,-16.38200,-12.86721,13.31842,13.31800
16384,5,-16.47152,-12.79136,13.26188,13.25749
16384,4,-16.72423,-12.78160,13.25352,13.25427
16384,3,-16.46201,-12.72965,13.22133,13.21924
16384,2,-16.26849,-12.71300,13.20986,13.21050
32768,15,-17.16589,-13.57821,14.00025,14.00017
32768,14,-17.29588,-13.57706,13.99818,14.00014
32768,13,-17.24971,-13.57972,14.00142,14.00009
32768,12,-17.11832,-13.57787,13.99913,13.99985
32768,11,-17.17456,-13.57633,13.99822,13.99891
32768,10,-17.21446,-13.57079,13.99492,13.99513
32768,9,-17.19322,-13.55175,13.97897,13.97984
32768,8,-16.98648,-13.47428,13.91550,13.91520
32768,7,-17.14300,-13.36759,13.81783,13.81886
32768,6,-16.79282,-13.36674,13.81811,13.81794
32768,5,-16.79359,-13.28491,13.75622,13.75742
32768,4,-17.01237,-13.28114,13.75423,13.75420
32768,3,-16.84550,-13.22648,13.71651,13.71917
32768,2,-16.86269,-13.21065,13.71027,13.71044
