LogN,H,Depth,LogScale,LogSlots,MIN,AVG,MED,STD,MIN,AVG,MED,STD
16,32,1,45,15,41.8301,44.6389,45.0000,4.2114,53.1508,53.1508,53.1508,+Inf
16,64,1,45,15,41.2996,44.1284,44.0000,3.8030,53.1508,53.1508,53.1508,+Inf
16,128,1,45,15,40.6077,43.6235,44.0000,3.4366,53.1508,53.1508,53.1508,+Inf
16,256,1,45,15,40.2996,43.1209,43.4150,3.1140,53.1508,53.1508,53.1508,+Inf
16,512,1,45,15,39.7521,42.6197,43.0000,2.8385,53.1508,53.1508,53.1508,+Inf
16,1024,1,45,15,39.2721,42.1188,42.4150,2.6060,53.1508,53.1508,53.1508,+Inf
16,2048,1,45,15,38.7521,41.6183,41.8301,2.4131,53.1508,53.1508,53.1508,+Inf
16,4096,1,45,15,38.3135,41.1185,41.4150,2.2571,53.1508,53.1508,53.1508,+Inf
16,8192,1,45,15,37.8102,40.6184,40.8301,2.1312,53.1508,53.1508,53.1508,+Inf
16,16384,1,45,15,37.2252,40.1182,40.3561,2.0311,53.1508,53.1508,53.1508,+Inf
16,32768,1,45,15,36.7905,39.6183,39.8707,1.9531,53.1508,53.1508,53.1508,+Inf
