H,MIN,AVG,STD
32,-57.7467,-55.0801,55.4058
64,-58.3822,-55.5732,55.8989
128,-58.8053,-56.0688,56.3949
256,-59.2018,-56.5613,56.8869
512,-59.7156,-57.0605,57.3860
1024,-60.2726,-57.5644,57.8902
2048,-60.9065,-58.0608,58.3867
4096,-61.2177,-58.5608,58.8866
8192,-61.7078,-59.0607,59.3862
16384,-62.1700,-59.5627,59.8888
32768,-62.6855,-60.0595,60.3857
