H,MIN,AVG,STD
32,-3.0000,-0.3602,0.7292
64,-3.5850,-0.8720,1.2188
128,-4.0000,-1.3772,1.7137
256,-4.5236,-1.8799,2.2110
512,-5.0444,-2.3814,2.7096
1024,-5.6724,-2.8826,3.2094
2048,-6.0000,-3.3809,3.7077
4096,-6.5236,-3.8829,4.2090
8192,-7.0980,-4.3816,4.7079
16384,-7.5925,-4.8818,5.2077
32768,-8.0875,-5.3810,5.7069
